(0) 50000000 Hz: S11=1.000732+0.000711j, S21=-0.000194+-0.000353j
(1) 50085000 Hz: S11=1.000571+0.000525j, S21=0.000104+-0.000122j
(2) 50170000 Hz: S11=1.000481+0.000350j, S21=0.000141+-0.000011j
(3) 50255000 Hz: S11=1.000354+0.000236j, S21=0.000089+0.000011j
(4) 50340000 Hz: S11=1.000382+0.000254j, S21=0.000117+-0.000115j
(5) 50425000 Hz: S11=1.000354+0.000327j, S21=0.000098+-0.000007j
(6) 50510000 Hz: S11=1.000489+0.000416j, S21=0.000062+0.000008j
(7) 50595000 Hz: S11=1.000360+0.000339j, S21=0.000026+-0.000007j
(8) 50680000 Hz: S11=1.000451+0.000372j, S21=0.000079+-0.000011j
(9) 50765000 Hz: S11=1.000405+0.000403j, S21=0.000048+-0.000016j
(10) 50850000 Hz: S11=1.000582+0.000282j, S21=0.000065+-0.000017j
(11) 50935000 Hz: S11=1.000404+0.000265j, S21=0.000032+-0.000033j
(12) 51020000 Hz: S11=1.000444+0.000407j, S21=0.000045+-0.000053j
(13) 51105000 Hz: S11=1.000385+0.000369j, S21=0.000081+0.000043j
(14) 51190000 Hz: S11=1.000430+0.000300j, S21=0.000072+-0.000017j
(15) 51275000 Hz: S11=1.000336+0.000362j, S21=0.000089+-0.000040j
(16) 51360000 Hz: S11=1.000383+0.000412j, S21=0.000025+0.000016j
(17) 51445000 Hz: S11=1.000320+0.000300j, S21=0.000099+-0.000098j
(18) 51530000 Hz: S11=1.000434+0.000319j, S21=0.000093+0.000018j
(19) 51615000 Hz: S11=1.000479+0.000277j, S21=-0.000007+0.000054j
(20) 51700000 Hz: S11=1.000413+0.000280j, S21=0.000030+-0.000039j
(21) 51785000 Hz: S11=1.000326+0.000287j, S21=0.000145+0.000021j
(22) 51870000 Hz: S11=1.000376+0.000383j, S21=0.000089+-0.000021j
(23) 51955000 Hz: S11=1.000278+0.000279j, S21=0.000036+0.000023j
(24) 52040000 Hz: S11=1.000391+0.000403j, S21=0.000032+0.000029j
(25) 52125000 Hz: S11=1.000521+0.000252j, S21=0.000041+0.000026j
(26) 52210000 Hz: S11=1.000320+0.000289j, S21=0.000053+0.000011j
(27) 52295000 Hz: S11=1.000364+0.000206j, S21=0.000121+-0.000035j
(28) 52380000 Hz: S11=1.000432+0.000304j, S21=0.000143+-0.000011j
(29) 52465000 Hz: S11=1.000287+0.000102j, S21=0.000102+-0.000028j
(30) 52550000 Hz: S11=1.000361+0.000369j, S21=0.000113+0.000007j
(31) 52635000 Hz: S11=1.000471+0.000238j, S21=0.000072+0.000051j
(32) 52720000 Hz: S11=1.000491+0.000184j, S21=0.000023+0.000043j
(33) 52805000 Hz: S11=1.000351+0.000188j, S21=0.000065+-0.000055j
(34) 52890000 Hz: S11=1.000422+0.000253j, S21=0.000040+-0.000045j
(35) 52975000 Hz: S11=1.000232+0.000342j, S21=0.000170+0.000050j
(36) 53060000 Hz: S11=1.000443+0.000302j, S21=0.000040+-0.000025j
(37) 53145000 Hz: S11=1.000363+0.000285j, S21=0.000077+-0.000019j
(38) 53230000 Hz: S11=1.000455+0.000263j, S21=0.000107+-0.000013j
(39) 53315000 Hz: S11=1.000424+0.000283j, S21=0.000019+0.000036j
(40) 53400000 Hz: S11=1.000496+0.000160j, S21=0.000114+-0.000009j
(41) 53485000 Hz: S11=1.000422+0.000235j, S21=0.000072+0.000044j
