Saving data to: vna_scan_at_2026-05-14_17-20-33.s2p
[Producer] Starting sweep 1/5
ID Label VNA TimeSent TimeRecv Freq SParam Format Value
20260514_172033 ManualRun 0 0.000560 0.012238 50000000 S11 REAL 1.0015919209e+00
20260514_172033 ManualRun 0 0.000560 0.012238 50000000 S11 IMG 2.6565762237e-03
20260514_172033 ManualRun 0 0.000560 0.012238 50000000 S21 REAL -1.4163351562e+04
20260514_172033 ManualRun 0 0.000560 0.012238 50000000 S21 IMG 1.9275659180e+03
20260514_172033 ManualRun 0 0.012262 0.018154 94736842 S11 REAL 1.0020108223e+00
20260514_172033 ManualRun 0 0.012262 0.018154 94736842 S11 IMG 7.0028327173e-04
20260514_172033 ManualRun 0 0.012262 0.018154 94736842 S21 REAL 1.0233718750e+04
20260514_172033 ManualRun 0 0.012262 0.018154 94736842 S21 IMG -9.6929746094e+03
20260514_172033 ManualRun 0 0.018174 0.029578 139473684 S11 REAL 1.0035226345e+00
20260514_172033 ManualRun 0 0.018174 0.029578 139473684 S11 IMG 2.0681873430e-03
20260514_172033 ManualRun 0 0.018174 0.029578 139473684 S21 REAL -5.7596572266e+03
20260514_172033 ManualRun 0 0.018174 0.029578 139473684 S21 IMG -7.6331406250e+03
20260514_172033 ManualRun 0 0.029603 0.035709 184210526 S11 REAL 1.0023705959e+00
20260514_172033 ManualRun 0 0.029603 0.035709 184210526 S11 IMG 3.8345421199e-03
20260514_172033 ManualRun 0 0.029603 0.035709 184210526 S21 REAL 1.2878151855e+03
20260514_172033 ManualRun 0 0.029603 0.035709 184210526 S21 IMG -2.3508330078e+04
20260514_172033 ManualRun 0 0.035733 0.041685 228947368 S11 REAL 1.0013910532e+00
20260514_172033 ManualRun 0 0.035733 0.041685 228947368 S11 IMG 5.9879226610e-03
20260514_172033 ManualRun 0 0.035733 0.041685 228947368 S21 REAL 2.8878896484e+03
20260514_172033 ManualRun 0 0.035733 0.041685 228947368 S21 IMG -6.4407036133e+03
20260514_172033 ManualRun 0 0.041714 0.047831 273684210 S11 REAL 1.0011677742e+00
20260514_172033 ManualRun 0 0.041714 0.047831 273684210 S11 IMG 5.4712141864e-03
20260514_172033 ManualRun 0 0.041714 0.047831 273684210 S21 REAL -1.1445424805e+04
20260514_172033 ManualRun 0 0.041714 0.047831 273684210 S21 IMG -1.8430339844e+04
20260514_172033 ManualRun 0 0.047855 0.059350 318421052 S11 REAL 1.0002640486e+00
20260514_172033 ManualRun 0 0.047855 0.059350 318421052 S11 IMG 4.8846690916e-03
20260514_172033 ManualRun 0 0.047855 0.059350 318421052 S21 REAL -5.8033110352e+03
20260514_172033 ManualRun 0 0.047855 0.059350 318421052 S21 IMG -4.9448715820e+03
20260514_172033 ManualRun 0 0.059384 0.066231 363157894 S11 REAL 9.9779033661e-01
20260514_172033 ManualRun 0 0.059384 0.066231 363157894 S11 IMG 3.4092995338e-03
20260514_172033 ManualRun 0 0.059384 0.066231 363157894 S21 REAL 1.0363374023e+04
20260514_172033 ManualRun 0 0.059384 0.066231 363157894 S21 IMG 9.5355527344e+03
20260514_172033 ManualRun 0 0.066267 0.077653 407894736 S11 REAL 9.9732482433e-01
20260514_172033 ManualRun 0 0.066267 0.077653 407894736 S11 IMG 3.6559663713e-03
20260514_172033 ManualRun 0 0.066267 0.077653 407894736 S21 REAL 4.3954707031e+03
20260514_172033 ManualRun 0 0.066267 0.077653 407894736 S21 IMG -3.0166079102e+03
20260514_172033 ManualRun 0 0.077683 0.083519 452631578 S11 REAL 9.9731153250e-01
20260514_172033 ManualRun 0 0.077683 0.083519 452631578 S11 IMG 2.8372195084e-03
20260514_172033 ManualRun 0 0.077683 0.083519 452631578 S21 REAL -3.5558222656e+03
20260514_172033 ManualRun 0 0.077683 0.083519 452631578 S21 IMG 3.5654252930e+03
20260514_172033 ManualRun 0 0.083557 0.089704 497368420 S11 REAL 9.9703204632e-01
20260514_172033 ManualRun 0 0.083557 0.089704 497368420 S11 IMG 4.0698563680e-03
20260514_172033 ManualRun 0 0.083557 0.089704 497368420 S21 REAL 4.9934365234e+03
